symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
3.0,231.0,cat1.0,cat1.0,cat0.0,cat1.0,cat0.0,cat0.0,cat0.0,88.6,168.8,64.1,48.8,2548.0,cat1.0,cat0.0,130.0,cat0.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0
3.0,231.0,cat1.0,cat1.0,cat0.0,cat1.0,cat0.0,cat0.0,cat0.0,88.6,168.8,64.1,48.8,2548.0,cat1.0,cat0.0,130.0,cat0.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0
1.0,231.0,cat1.0,cat1.0,cat0.0,cat1.0,cat1.0,cat0.0,cat0.0,94.5,171.2,65.5,52.4,2823.0,cat0.0,cat1.0,152.0,cat0.0,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0
2.0,164.0,cat2.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,99.8,176.6,66.2,54.3,2337.0,cat2.0,cat0.0,109.0,cat0.0,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0
2.0,164.0,cat2.0,cat1.0,cat0.0,cat0.0,cat2.0,cat2.0,cat0.0,99.4,176.6,66.4,54.3,2824.0,cat2.0,cat2.0,136.0,cat0.0,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0
2.0,231.0,cat2.0,cat1.0,cat0.0,cat1.0,cat2.0,cat1.0,cat0.0,99.8,177.3,66.3,53.1,2507.0,cat2.0,cat2.0,136.0,cat0.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0
1.0,158.0,cat2.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,105.8,192.7,71.4,55.7,2844.0,cat2.0,cat2.0,136.0,cat0.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0
1.0,231.0,cat2.0,cat1.0,cat0.0,cat0.0,cat3.0,cat1.0,cat0.0,105.8,192.7,71.4,55.7,2954.0,cat2.0,cat2.0,136.0,cat0.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0
1.0,158.0,cat2.0,cat1.0,cat1.0,cat0.0,cat2.0,cat1.0,cat0.0,105.8,192.7,71.4,55.9,3086.0,cat2.0,cat2.0,131.0,cat0.0,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,23875.0
0.0,231.0,cat2.0,cat1.0,cat1.0,cat1.0,cat1.0,cat2.0,cat0.0,99.5,178.2,67.9,52.0,3053.0,cat2.0,cat2.0,131.0,cat0.0,3.13,3.4,7.0,160.0,5500.0,16.0,22.0,18420.0
2.0,192.0,cat3.0,cat1.0,cat0.0,cat1.0,cat2.0,cat0.0,cat0.0,101.2,176.8,64.8,54.3,2395.0,cat2.0,cat0.0,108.0,cat0.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16430.0
0.0,192.0,cat3.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,101.2,176.8,64.8,54.3,2395.0,cat2.0,cat0.0,108.0,cat0.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0
0.0,188.0,cat3.0,cat1.0,cat0.0,cat1.0,cat2.0,cat0.0,cat0.0,101.2,176.8,64.8,54.3,2710.0,cat2.0,cat1.0,164.0,cat0.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0
0.0,188.0,cat3.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,101.2,176.8,64.8,54.3,2765.0,cat2.0,cat1.0,164.0,cat0.0,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0
1.0,231.0,cat3.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,103.5,189.0,66.9,55.7,3055.0,cat2.0,cat1.0,164.0,cat0.0,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,24565.0
0.0,231.0,cat3.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,103.5,189.0,66.9,55.7,3230.0,cat2.0,cat1.0,209.0,cat0.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0
0.0,231.0,cat3.0,cat1.0,cat0.0,cat1.0,cat2.0,cat0.0,cat0.0,103.5,193.8,67.9,53.7,3380.0,cat2.0,cat1.0,209.0,cat0.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0
0.0,231.0,cat3.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,110.0,197.0,70.9,56.3,3505.0,cat2.0,cat1.0,209.0,cat0.0,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,36880.0
2.0,121.0,cat4.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,88.4,141.1,60.3,53.2,1488.0,cat3.0,cat3.0,61.0,cat1.0,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5151.0
1.0,98.0,cat4.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,94.5,155.9,63.6,52.0,1874.0,cat2.0,cat0.0,90.0,cat1.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0
0.0,81.0,cat4.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,94.5,158.8,63.6,52.0,1909.0,cat2.0,cat0.0,90.0,cat1.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0
1.0,118.0,cat5.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.7,157.3,63.8,50.8,1876.0,cat2.0,cat0.0,90.0,cat1.0,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,5572.0
1.0,118.0,cat5.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.7,157.3,63.8,50.8,1876.0,cat2.0,cat0.0,90.0,cat1.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6377.0
1.0,118.0,cat5.0,cat1.0,cat1.0,cat1.0,cat1.0,cat1.0,cat0.0,93.7,157.3,63.8,50.8,2128.0,cat2.0,cat0.0,98.0,cat0.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0
1.0,148.0,cat5.0,cat1.0,cat0.0,cat0.0,cat1.0,cat1.0,cat0.0,93.7,157.3,63.8,50.6,1967.0,cat2.0,cat0.0,90.0,cat1.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0
1.0,148.0,cat5.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,93.7,157.3,63.8,50.6,1989.0,cat2.0,cat0.0,90.0,cat1.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0
1.0,148.0,cat5.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,93.7,157.3,63.8,50.6,1989.0,cat2.0,cat0.0,90.0,cat1.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0
1.0,148.0,cat5.0,cat1.0,cat1.0,cat0.0,cat2.0,cat1.0,cat0.0,93.7,157.3,63.8,50.6,2191.0,cat2.0,cat0.0,98.0,cat0.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,8558.0
-1.0,110.0,cat5.0,cat1.0,cat0.0,cat0.0,cat3.0,cat1.0,cat0.0,103.3,174.6,64.6,59.8,2535.0,cat2.0,cat0.0,122.0,cat1.0,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0
3.0,145.0,cat5.0,cat1.0,cat1.0,cat1.0,cat1.0,cat1.0,cat0.0,95.9,173.2,66.3,50.2,2811.0,cat2.0,cat0.0,156.0,cat2.0,3.6,3.9,7.0,145.0,5000.0,19.0,24.0,12964.0
2.0,137.0,cat6.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,86.6,144.6,63.9,50.8,1713.0,cat2.0,cat0.0,92.0,cat3.0,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,6479.0
2.0,137.0,cat6.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,86.6,144.6,63.9,50.8,1819.0,cat2.0,cat0.0,92.0,cat3.0,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,6855.0
1.0,101.0,cat6.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.7,150.0,64.0,52.6,1837.0,cat2.0,cat0.0,79.0,cat3.0,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,5399.0
1.0,101.0,cat6.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.7,150.0,64.0,52.6,1940.0,cat2.0,cat0.0,92.0,cat3.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,6529.0
1.0,101.0,cat6.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.7,150.0,64.0,52.6,1956.0,cat2.0,cat0.0,92.0,cat3.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7129.0
0.0,110.0,cat6.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,96.5,163.4,64.0,54.5,2010.0,cat2.0,cat0.0,92.0,cat3.0,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0
0.0,78.0,cat6.0,cat1.0,cat0.0,cat0.0,cat3.0,cat1.0,cat0.0,96.5,157.1,63.9,58.3,2024.0,cat2.0,cat0.0,92.0,cat3.0,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0
0.0,106.0,cat6.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,96.5,167.5,65.2,53.3,2236.0,cat2.0,cat0.0,110.0,cat3.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,7895.0
0.0,106.0,cat6.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,96.5,167.5,65.2,53.3,2289.0,cat2.0,cat0.0,110.0,cat3.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,9095.0
0.0,85.0,cat6.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,96.5,175.4,65.2,54.1,2304.0,cat2.0,cat0.0,110.0,cat3.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,8845.0
0.0,85.0,cat6.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,96.5,175.4,62.5,54.1,2372.0,cat2.0,cat0.0,110.0,cat3.0,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,10295.0
0.0,85.0,cat6.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,96.5,175.4,65.2,54.1,2465.0,cat2.0,cat0.0,110.0,cat0.0,3.15,3.58,9.0,101.0,5800.0,24.0,28.0,12945.0
1.0,107.0,cat6.0,cat1.0,cat0.0,cat1.0,cat2.0,cat1.0,cat0.0,96.5,169.1,66.0,51.0,2293.0,cat2.0,cat0.0,110.0,cat1.0,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,10345.0
0.0,231.0,cat7.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,94.3,170.7,61.8,53.5,2337.0,cat2.0,cat0.0,111.0,cat1.0,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0
1.0,231.0,cat7.0,cat1.0,cat0.0,cat1.0,cat2.0,cat1.0,cat0.0,94.5,155.9,63.6,52.0,1874.0,cat2.0,cat0.0,90.0,cat1.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,18420.0
0.0,231.0,cat7.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,94.5,155.9,63.6,52.0,1909.0,cat2.0,cat0.0,90.0,cat1.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,18420.0
2.0,231.0,cat7.0,cat1.0,cat0.0,cat1.0,cat1.0,cat0.0,cat0.0,96.0,172.6,65.2,51.4,2734.0,cat2.0,cat0.0,119.0,cat4.0,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,11048.0
0.0,145.0,cat8.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,113.0,199.6,69.6,52.8,4066.0,cat1.0,cat1.0,258.0,cat0.0,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,32250.0
0.0,231.0,cat8.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,113.0,199.6,69.6,52.8,4066.0,cat1.0,cat1.0,258.0,cat0.0,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,35550.0
0.0,231.0,cat8.0,cat1.0,cat0.0,cat1.0,cat2.0,cat0.0,cat0.0,102.0,191.7,70.6,47.8,3950.0,cat0.0,cat4.0,326.0,cat0.0,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,36000.0
1.0,104.0,cat0.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.1,159.1,64.2,54.1,1890.0,cat2.0,cat0.0,91.0,cat1.0,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,5195.0
1.0,104.0,cat0.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.1,159.1,64.2,54.1,1900.0,cat2.0,cat0.0,91.0,cat1.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6095.0
1.0,104.0,cat0.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.1,159.1,64.2,54.1,1905.0,cat2.0,cat0.0,91.0,cat1.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6795.0
1.0,113.0,cat0.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,93.1,166.8,64.2,54.1,1945.0,cat2.0,cat0.0,91.0,cat1.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6695.0
1.0,113.0,cat0.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,93.1,166.8,64.2,54.1,1950.0,cat2.0,cat0.0,91.0,cat1.0,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,7395.0
3.0,150.0,cat0.0,cat1.0,cat0.0,cat1.0,cat1.0,cat0.0,cat0.0,95.3,169.0,65.7,49.6,2380.0,cat4.0,cat5.0,70.0,cat5.0,3.03,3.39,9.4,101.0,6000.0,17.0,23.0,10945.0
3.0,150.0,cat0.0,cat1.0,cat0.0,cat1.0,cat1.0,cat0.0,cat0.0,95.3,169.0,65.7,49.6,2380.0,cat4.0,cat5.0,70.0,cat5.0,3.03,3.39,9.4,101.0,6000.0,17.0,23.0,11845.0
3.0,150.0,cat0.0,cat1.0,cat0.0,cat1.0,cat1.0,cat0.0,cat0.0,95.3,169.0,65.7,49.6,2385.0,cat4.0,cat5.0,70.0,cat5.0,3.03,3.39,9.4,101.0,6000.0,17.0,23.0,13645.0
3.0,150.0,cat0.0,cat1.0,cat0.0,cat1.0,cat1.0,cat0.0,cat0.0,95.3,169.0,65.7,49.6,2500.0,cat4.0,cat5.0,80.0,cat0.0,3.03,3.39,9.4,135.0,6000.0,16.0,23.0,15645.0
1.0,129.0,cat0.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,98.8,177.8,66.5,53.7,2385.0,cat2.0,cat0.0,122.0,cat1.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8845.0
0.0,115.0,cat0.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,98.8,177.8,66.5,55.5,2410.0,cat2.0,cat0.0,122.0,cat1.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8495.0
1.0,129.0,cat0.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,98.8,177.8,66.5,53.7,2385.0,cat2.0,cat0.0,122.0,cat1.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10595.0
0.0,115.0,cat0.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,98.8,177.8,66.5,55.5,2410.0,cat2.0,cat0.0,122.0,cat1.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10245.0
0.0,231.0,cat0.0,cat0.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,98.8,177.8,66.5,55.5,2443.0,cat2.0,cat0.0,122.0,cat6.0,3.39,3.39,22.7,64.0,4650.0,36.0,42.0,10795.0
0.0,115.0,cat0.0,cat1.0,cat0.0,cat0.0,cat1.0,cat1.0,cat0.0,98.8,177.8,66.5,55.5,2425.0,cat2.0,cat0.0,122.0,cat1.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11245.0
0.0,118.0,cat0.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,104.9,175.0,66.1,54.4,2670.0,cat2.0,cat0.0,140.0,cat0.0,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,18280.0
0.0,231.0,cat0.0,cat0.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,104.9,175.0,66.1,54.4,2700.0,cat2.0,cat0.0,134.0,cat6.0,3.43,3.64,22.0,72.0,4200.0,31.0,39.0,18344.0
-1.0,93.0,cat9.0,cat0.0,cat1.0,cat0.0,cat2.0,cat0.0,cat0.0,110.0,190.9,70.3,56.5,3515.0,cat2.0,cat2.0,183.0,cat6.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,25552.0
-1.0,93.0,cat9.0,cat0.0,cat1.0,cat0.0,cat3.0,cat0.0,cat0.0,110.0,190.9,70.3,58.7,3750.0,cat2.0,cat2.0,183.0,cat6.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28248.0
0.0,93.0,cat9.0,cat0.0,cat1.0,cat1.0,cat4.0,cat0.0,cat0.0,106.7,187.5,70.3,54.9,3495.0,cat2.0,cat2.0,183.0,cat6.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28176.0
-1.0,93.0,cat9.0,cat0.0,cat1.0,cat0.0,cat2.0,cat0.0,cat0.0,115.6,202.6,71.7,56.3,3770.0,cat2.0,cat2.0,183.0,cat6.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,31600.0
-1.0,231.0,cat9.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,115.6,202.6,71.7,56.5,3740.0,cat0.0,cat6.0,234.0,cat0.0,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,34184.0
3.0,142.0,cat9.0,cat1.0,cat0.0,cat1.0,cat0.0,cat0.0,cat0.0,96.6,180.3,70.5,50.8,3685.0,cat0.0,cat6.0,234.0,cat0.0,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,35056.0
0.0,231.0,cat9.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,120.9,208.1,71.7,56.7,3900.0,cat0.0,cat6.0,308.0,cat0.0,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,40960.0
1.0,231.0,cat9.0,cat1.0,cat0.0,cat1.0,cat4.0,cat0.0,cat0.0,112.0,199.2,72.0,55.4,3715.0,cat0.0,cat6.0,304.0,cat0.0,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,45400.0
1.0,231.0,cat10.0,cat1.0,cat1.0,cat1.0,cat1.0,cat0.0,cat0.0,102.7,178.4,68.0,54.8,2910.0,cat2.0,cat0.0,140.0,cat0.0,3.78,3.12,8.0,175.0,5000.0,19.0,24.0,16503.0
2.0,161.0,cat11.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.7,157.3,64.4,50.8,1918.0,cat2.0,cat0.0,92.0,cat1.0,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,5389.0
2.0,161.0,cat11.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.7,157.3,64.4,50.8,1944.0,cat2.0,cat0.0,92.0,cat1.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6189.0
2.0,161.0,cat11.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,93.7,157.3,64.4,50.8,2004.0,cat2.0,cat0.0,92.0,cat1.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6669.0
1.0,161.0,cat11.0,cat1.0,cat1.0,cat1.0,cat1.0,cat1.0,cat0.0,93.0,157.3,63.8,50.8,2145.0,cat2.0,cat0.0,98.0,cat7.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7689.0
3.0,153.0,cat11.0,cat1.0,cat1.0,cat1.0,cat1.0,cat1.0,cat0.0,96.3,173.0,65.4,49.4,2370.0,cat2.0,cat0.0,110.0,cat7.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9959.0
3.0,153.0,cat11.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,96.3,173.0,65.4,49.4,2328.0,cat2.0,cat0.0,122.0,cat1.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8499.0
3.0,231.0,cat11.0,cat1.0,cat1.0,cat1.0,cat1.0,cat1.0,cat0.0,95.9,173.2,66.3,50.2,2833.0,cat2.0,cat0.0,156.0,cat7.0,3.58,3.86,7.0,145.0,5000.0,19.0,24.0,12629.0
3.0,231.0,cat11.0,cat1.0,cat1.0,cat1.0,cat1.0,cat1.0,cat0.0,95.9,173.2,66.3,50.2,2921.0,cat2.0,cat0.0,156.0,cat7.0,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14869.0
3.0,231.0,cat11.0,cat1.0,cat1.0,cat1.0,cat1.0,cat1.0,cat0.0,95.9,173.2,66.3,50.2,2926.0,cat2.0,cat0.0,156.0,cat7.0,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14489.0
1.0,125.0,cat11.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,96.3,172.4,65.4,51.6,2365.0,cat2.0,cat0.0,122.0,cat1.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,6989.0
1.0,125.0,cat11.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,96.3,172.4,65.4,51.6,2405.0,cat2.0,cat0.0,122.0,cat1.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8189.0
1.0,125.0,cat11.0,cat1.0,cat1.0,cat0.0,cat2.0,cat1.0,cat0.0,96.3,172.4,65.4,51.6,2403.0,cat2.0,cat0.0,110.0,cat7.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0
-1.0,137.0,cat11.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,96.3,172.4,65.4,51.6,2403.0,cat2.0,cat0.0,110.0,cat7.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0
1.0,128.0,cat12.0,cat1.0,cat0.0,cat1.0,cat2.0,cat1.0,cat0.0,94.5,165.3,63.8,54.5,1889.0,cat2.0,cat0.0,97.0,cat1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5499.0
1.0,128.0,cat12.0,cat0.0,cat0.0,cat1.0,cat2.0,cat1.0,cat0.0,94.5,165.3,63.8,54.5,2017.0,cat2.0,cat0.0,103.0,cat6.0,2.99,3.47,21.9,55.0,4800.0,45.0,50.0,7099.0
1.0,128.0,cat12.0,cat1.0,cat0.0,cat1.0,cat2.0,cat1.0,cat0.0,94.5,165.3,63.8,54.5,1918.0,cat2.0,cat0.0,97.0,cat1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6649.0
1.0,122.0,cat12.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,94.5,165.3,63.8,54.5,1938.0,cat2.0,cat0.0,97.0,cat1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6849.0
1.0,103.0,cat12.0,cat1.0,cat0.0,cat0.0,cat3.0,cat1.0,cat0.0,94.5,170.2,63.8,53.5,2024.0,cat2.0,cat0.0,97.0,cat1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7349.0
1.0,128.0,cat12.0,cat1.0,cat0.0,cat1.0,cat2.0,cat1.0,cat0.0,94.5,165.3,63.8,54.5,1951.0,cat2.0,cat0.0,97.0,cat1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7299.0
1.0,128.0,cat12.0,cat1.0,cat0.0,cat1.0,cat1.0,cat1.0,cat0.0,94.5,165.6,63.8,53.3,2028.0,cat2.0,cat0.0,97.0,cat1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7799.0
1.0,122.0,cat12.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,94.5,165.3,63.8,54.5,1971.0,cat2.0,cat0.0,97.0,cat1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7499.0
1.0,103.0,cat12.0,cat1.0,cat0.0,cat0.0,cat3.0,cat1.0,cat0.0,94.5,170.2,63.8,53.5,2037.0,cat2.0,cat0.0,97.0,cat1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7999.0
2.0,168.0,cat12.0,cat1.0,cat0.0,cat1.0,cat4.0,cat1.0,cat0.0,95.1,162.4,63.8,53.3,2008.0,cat2.0,cat0.0,97.0,cat1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,8249.0
0.0,106.0,cat12.0,cat1.0,cat0.0,cat0.0,cat1.0,cat1.0,cat0.0,97.2,173.4,65.2,54.7,2324.0,cat2.0,cat0.0,120.0,cat1.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,8949.0
0.0,106.0,cat12.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,97.2,173.4,65.2,54.7,2302.0,cat2.0,cat0.0,120.0,cat1.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,9549.0
